time,time,std,latency,all_std,mean_latency,category
2019-02-12 00:00:00,2019-02-12 00:00:57.334986,0.031206440658268907,1.1040169999999758,0.4666915719982037,0.3241771111111785,Inconsistent
2019-02-12 00:00:00,2019-02-12 00:00:56.162487,0.0302617563416572,0.2586740000000283,0.4667806969560454,0.3346506470588949,Good
2019-02-12 00:00:00,2019-02-12 00:00:55.092005,0.003110676933233689,0.32336699999943125,0.465684931992127,0.3159498888889563,Inconsistent
2019-02-12 00:00:00,2019-02-12 00:00:58.446060,0.3587605497992641,0.06584800000000103,0.4647215198140134,0.32238185000006064,Good
2019-02-12 00:00:00,2019-02-12 00:00:55.896856,0.2559961060328805,0.09409700000000484,0.4657990209371048,0.31804522222228965,Good
2019-02-12 00:00:00,2019-02-12 00:00:02.547132,0.003669746738125977,0.07110600000000261,0.4699951682719156,0.2291269285715153,Good
2019-02-12 00:00:00,2019-02-12 00:00:55.679293,0.0008077671821604683,0.03941600000000218,0.46678261164911405,0.3183808888889563,Good
2019-02-12 00:00:00,2019-02-12 00:00:05.052425,0.04029811668502816,0.296992999999991,0.465681896515817,0.3157911111111786,Good
2019-02-12 00:00:00,2019-02-12 00:00:55.632906,0.001084129978888982,0.061188999999997565,0.4667370194663936,0.3347905882353655,Good
2019-02-12 00:00:00,2019-02-12 00:00:04.674851,0.005012848053731521,0.0690279999999992,0.4680803854803898,0.3325493125000759,Good
2019-02-12 00:00:00,2019-02-12 00:00:04.748247,0.0037286050174640322,0.06645799999999946,0.4670334381788885,0.3168968823530126,Good
2019-02-12 00:00:00,2019-02-12 00:00:56.223916,0.0020183676048607197,0.05431500000010344,0.4657803721239375,0.31907644444451183,Good
2019-02-12 00:00:00,2019-02-12 00:00:55.564992,0.16367387578386486,0.4648730000000012,0.4668005624416439,0.3184338888889563,Inconsistent
2019-02-12 00:00:00,2019-02-12 00:00:55.740675,0.0030860369584136274,0.05417799999995463,0.4667816571485881,0.3182522222222897,Good
2019-02-12 00:00:00,2019-02-12 00:00:58.372109,0.18192283002275536,0.6009770000000004,0.4657419629504233,0.33580236842111644,Inconsistent
2019-02-12 00:00:00,2019-02-12 00:00:55.794538,0.003654277019550717,0.047279999999992564,0.4658024969291224,0.3179131666667341,Good
2019-02-12 00:00:00,2019-02-12 00:00:58.519097,0.0032264614619489434,0.06540699999999944,0.4637113189030326,0.31016376190481965,Good
2019-02-12 00:00:00,2019-02-12 00:00:04.598780,1.1134932145793532,2.0439839999996408,0.4677707165069209,0.35011740000008096,Bad
2019-02-12 00:01:00,2019-02-12 00:01:57.300281,0.02961139665627041,1.085126999999988,0.4678693485685693,0.2620031111111784,Inconsistent
2019-02-12 00:01:00,2019-02-12 00:01:01.793148,0.003817740754865489,0.06299299999999973,0.4638087571938339,0.28117628571434344,Good
2019-02-12 00:01:00,2019-02-12 00:01:01.559184,0.003783979944181595,0.0652430000000013,0.4658113764786268,0.3045582105263796,Good
2019-02-12 00:01:00,2019-02-12 00:01:56.226516,0.003193604775808685,0.06113700000010345,0.463194295674589,0.2146952352941889,Good
2019-02-12 00:01:00,2019-02-12 00:01:55.747379,0.002927679030564503,0.05396999999995464,0.4627973293410704,0.21502105882360067,Good
2019-02-12 00:01:00,2019-02-12 00:01:01.725190,0.005249594089043801,0.0637979999999996,0.4648086404207333,0.2922587000000606,Good
2019-02-12 00:01:00,2019-02-12 00:01:56.158549,0.03054519773202043,0.2497675000000141,0.4631116204743287,0.2167595000000673,Inconsistent
2019-02-12 00:01:00,2019-02-12 00:01:02.092738,0.038604175462878434,0.2943324999999955,0.4624967766211037,0.28165336363641874,Inconsistent
2019-02-12 00:01:00,2019-02-12 00:01:55.908528,0.2439522024573719,0.09953900000000483,0.4605187473704048,0.2153417647059536,Good
2019-02-12 00:01:00,2019-02-12 00:01:55.801468,0.003578422945460515,0.04728999999999255,0.4618482051537229,0.2150216470588948,Good
2019-02-12 00:01:00,2019-02-12 00:01:55.640039,0.0010675807323164454,0.06001499999999756,0.4647065483411579,0.21501805882360067,Good
2019-02-12 00:01:00,2019-02-12 00:01:55.686513,0.0007683513982841384,0.03967500000000219,0.4637708472454027,0.21503329411771832,Good
2019-02-12 00:01:00,2019-02-12 00:01:55.091638,0.003105332806407314,0.32271899999971565,0.4668476497076977,0.2206042222222896,Inconsistent
2019-02-12 00:01:00,2019-02-12 00:01:55.573199,0.1559960584759492,0.4738450000000011,0.4657076482358847,0.2150871176471301,Inconsistent
2019-02-12 00:02:00,2019-02-12 00:02:55.578569,0.13536578755267795,0.4501270000000012,0.467573781544346,0.267093166666734,Inconsistent
2019-02-12 00:02:00,2019-02-12 00:02:59.839292,0.3585244607379952,0.06652950000000105,0.46542622407153494,0.2735308500000605,Good
2019-02-12 00:02:00,2019-02-12 00:02:59.912866,0.0032037241286843364,0.06623749999999945,0.4644205960936567,0.26366566666672425,Good
2019-02-12 00:02:00,2019-02-12 00:02:55.756786,0.002539433947826341,0.05440199999995463,0.4675744207092701,0.2671551111111785,Good
2019-02-12 00:02:00,2019-02-12 00:02:00.928056,0.0033768338049791715,0.06611299999999888,0.4639183797038097,0.21283282352948305,Good
2019-02-12 00:02:00,2019-02-12 00:02:57.323659,0.030027794186060795,1.0457559999999757,0.4696810648269981,0.2681406111111783,Inconsistent
2019-02-12 00:02:00,2019-02-12 00:02:00.779828,0.1775895901159855,0.5509260000000008,0.4660031056037172,0.23231426666674745,Inconsistent
2019-02-12 00:02:00,2019-02-12 00:02:55.120701,0.009309464661421223,0.3502209999994313,0.4676195255381268,0.2684108333334006,Inconsistent
