time,Bad,Good,Inconsistent
2019-02-10 00:00:00,1.303030303030303,11.85,5.101694915254237
2019-02-10 01:00:00,1.1818181818181819,12.5,4.55
2019-02-10 02:00:00,1.2,12.183333333333334,4.85
2019-02-10 03:00:00,1.24,11.7,5.333333333333333
2019-02-10 04:00:00,1.1363636363636365,11.8,5.35
2019-02-10 05:00:00,1.3846153846153846,10.816666666666666,6.05
2019-02-10 06:00:00,1.35,11.55,5.516666666666667
2019-02-10 07:00:00,1.375,11.516666666666667,5.616666666666666
2019-02-10 08:00:00,1.1764705882352942,11.883333333333333,5.137931034482759
2019-02-10 09:00:00,1.2,12.35,4.824561403508772
2019-02-10 10:00:00,1.1428571428571428,12.266666666666667,4.862068965517241
2019-02-10 11:00:00,1.2121212121212122,13.366666666666667,4.666666666666667
2019-02-10 12:00:00,1.0833333333333333,12.0,5.016949152542373
2019-02-10 13:00:00,1.0625,12.2,4.796610169491525
2019-02-10 14:00:00,1.025,14.183333333333334,4.315789473684211
2019-02-10 15:00:00,1.1428571428571428,14.35,4.097560975609756
2019-02-10 16:00:00,1.2926829268292683,12.833333333333334,4.339622641509434
2019-02-10 17:00:00,1.0263157894736843,13.033333333333333,4.321428571428571
2019-02-10 18:00:00,1.0526315789473684,13.05,4.2727272727272725
2019-02-10 19:00:00,1.105263157894737,12.483333333333333,4.551724137931035
2019-02-10 20:00:00,1.0975609756097562,12.483333333333333,4.679245283018868
2019-02-10 21:00:00,1.0588235294117647,14.15,3.702127659574468
2019-02-10 22:00:00,1.0,12.766666666666667,4.6909090909090905
2019-02-10 23:00:00,1.125,12.766666666666667,4.25
2019-02-11 00:00:00,1.3448275862068966,11.533333333333333,5.366666666666666
2019-02-11 01:00:00,1.2083333333333333,10.983333333333333,6.15
2019-02-11 02:00:00,1.263157894736842,10.916666666666666,6.233333333333333
2019-02-11 03:00:00,1.1176470588235294,10.483333333333333,5.9
2019-02-11 04:00:00,1.625,11.0,6.133333333333334
2019-02-11 05:00:00,1.0909090909090908,10.916666666666666,6.316666666666666
2019-02-11 06:00:00,1.0,11.3,6.083333333333333
2019-02-11 07:00:00,1.3478260869565217,10.966666666666667,6.1
2019-02-11 08:00:00,1.0,11.433333333333334,5.65
2019-02-11 09:00:00,1.2941176470588236,11.666666666666666,5.25
2019-02-11 10:00:00,1.48,11.2,5.7
2019-02-11 11:00:00,1.4545454545454546,10.533333333333333,6.483333333333333
2019-02-11 12:00:00,1.2058823529411764,11.566666666666666,5.576271186440678
2019-02-11 13:00:00,1.1891891891891893,11.4,5.55
2019-02-11 14:00:00,1.0952380952380953,11.566666666666666,5.6
2019-02-11 15:00:00,1.1794871794871795,11.616666666666667,5.316666666666666
2019-02-11 16:00:00,1.3529411764705883,11.75,5.016666666666667
2019-02-11 17:00:00,1.2121212121212122,11.916666666666666,5.0
2019-02-11 18:00:00,1.0,13.616666666666667,3.727272727272727
2019-02-11 19:00:00,1.0810810810810811,13.033333333333333,4.033898305084746
2019-02-11 20:00:00,1.0476190476190477,12.933333333333334,4.214285714285714
2019-02-11 21:00:00,1.0,13.683333333333334,3.5
2019-02-11 22:00:00,1.0,13.383333333333333,3.896551724137931
2019-02-11 23:00:00,1.0714285714285714,11.933333333333334,5.1
2019-02-12 00:00:00,1.1785714285714286,11.083333333333334,5.766666666666667
2019-02-12 01:00:00,1.0833333333333333,11.75,5.466666666666667
2019-02-12 02:00:00,1.25,11.633333333333333,5.25
2019-02-12 03:00:00,1.2,11.316666666666666,5.6
2019-02-12 04:00:00,1.103448275862069,11.616666666666667,5.45
2019-02-12 05:00:00,1.0740740740740742,11.383333333333333,5.65
2019-02-12 06:00:00,1.1935483870967742,11.65,5.366666666666666
2019-02-12 07:00:00,1.2,11.55,5.3
2019-02-12 08:00:00,1.6363636363636365,10.066666666666666,6.05
2019-02-12 09:00:00,1.3333333333333333,9.883333333333333,6.666666666666667
2019-02-12 10:00:00,1.0666666666666667,10.433333333333334,6.35
2019-02-12 11:00:00,1.25,10.45,6.333333333333333
2019-02-12 12:00:00,1.2222222222222223,10.320754716981131,6.283018867924528
