time,Bad,Good
2019-01-24 00:00:00,6.833333333333333,11.7
2019-01-24 01:00:00,6.916666666666667,11.516666666666667
2019-01-24 02:00:00,6.366666666666666,12.116666666666667
2019-01-24 03:00:00,6.233333333333333,12.266666666666667
2019-01-24 04:00:00,5.766666666666667,13.316666666666666
2019-01-24 05:00:00,6.216666666666667,12.283333333333333
2019-01-24 06:00:00,6.383333333333334,11.75
2019-01-24 07:00:00,6.733333333333333,14.916666666666666
2019-01-24 08:00:00,6.633333333333334,11.7
2019-01-24 09:00:00,6.233333333333333,12.133333333333333
2019-01-24 10:00:00,5.816666666666666,13.683333333333334
2019-01-24 11:00:00,6.683333333333334,11.7
2019-01-24 12:00:00,6.5,11.883333333333333
2019-01-24 13:00:00,6.6,11.766666666666667
2019-01-24 14:00:00,7.116666666666666,14.933333333333334
2019-01-24 15:00:00,7.0,13.266666666666667
2019-01-24 16:00:00,5.716666666666667,12.4
2019-01-24 17:00:00,5.916666666666667,14.283333333333333
2019-01-24 18:00:00,5.733333333333333,19.766666666666666
2019-01-24 19:00:00,2.7111111111111112,21.4
2019-01-24 20:00:00,3.5428571428571427,23.833333333333332
2019-01-24 21:00:00,3.611111111111111,22.3
2019-01-24 22:00:00,3.607843137254902,16.6
2019-01-24 23:00:00,6.483333333333333,12.016666666666667
2019-01-25 00:00:00,7.0,11.0
